N = 4096

Intersection points:
(894,430359, 998,381104)
(292,163483, 996,850952)
(894,430359, 996,290833)
(894,430359, 995,853516)
(292,163483, 995,671936)
(628,439026, 995,012146)
(894,430359, 995,012146)
(501,719482, 994,631897)
(15,430093, 994,384705)
(501,719482, 994,384644)
(628,439026, 993,871033)
(501,719482, 993,789307)
(628,439026, 993,789429)
(15,430093, 993,677795)
(628,439026, 992,008240)
(921,772278, 992,008240)
(278,491974, 991,112183)
(563,376343, 990,799561)
(278,491974, 990,721436)
(358,553772, 989,712402)
(615,388855, 989,712341)
(278,491974, 989,696655)
(289,178497, 988,227722)
(419,911041, 988,227783)
(528,766052, 988,227722)
(419,911041, 987,331909)
(528,766052, 987,331970)
(289,178497, 986,317261)
(294,184753, 986,317261)
(289,178497, 986,168030)
(294,184753, 986,167969)
(289,178497, 985,632324)
(294,184753, 985,632446)
(289,178497, 985,176208)
(294,184753, 985,176208)
(289,178497, 985,045227)
(294,184753, 985,045227)
(289,178497, 984,963196)
(294,184753, 984,963135)
(289,178497, 983,587708)
(294,184753, 983,587769)
(289,178497, 983,581482)
(294,184753, 983,581482)
(289,178497, 983,210510)
(289,178497, 982,869690)
(957,719910, 982,268799)
(515,283264, 973,292664)
(524,960327, 973,292725)
(515,283264, 973,061462)
(524,960327, 973,061462)
(721,690735, 973,061462)
(777,441528, 973,061462)
(515,283264, 972,680298)
(524,960327, 972,680359)
(64,177338, 972,501526)
(515,283264, 972,501465)
(524,960327, 972,501465)
(515,283264, 971,984802)
(515,283264, 971,680237)
(524,960327, 971,680237)
(546,805115, 971,680237)
(515,283264, 971,537720)
(524,960327, 971,537720)
(546,805115, 971,537781)
(721,690735, 971,537720)
(777,441528, 971,537720)
(515,283264, 970,901062)
(546,805115, 970,901123)
(721,690735, 970,901123)
(777,441528, 970,901062)
(359,336914, 970,088806)
(515,283264, 970,088806)
(546,805115, 970,088867)
(721,690735, 970,088806)
(777,441528, 970,088806)
(515,283264, 969,847656)
(546,805115, 969,847595)
(359,336914, 969,298828)
(515,283264, 969,298828)
(546,805115, 969,298889)
(419,290710, 968,028198)
(515,283264, 968,028259)
(824,460876, 967,318665)
(960,133789, 967,318665)
(530,305481, 966,460144)
(897,689270, 965,318726)
(597,776062, 964,744446)
(837,420898, 964,744507)
(48,755409, 963,949646)
(48,755409, 962,691956)
(656,475098, 961,344604)
(656,475098, 961,176880)
(218,290802, 960,041321)
(490,454010, 959,527283)
(218,290802, 959,276978)
(81,819000, 955,967712)
(858,254272, 952,943787)
(863,969299, 952,943787)
